Country Name,Country Code,Year,Population growth (annual %),Population in urban agglomerations of more than 1 million (% of total population),"Population, total",Urban population,Urban population (% of total population),Urban population growth (annual %)
Argentina,ARG,1970,1.560019413,44.03843284,23878327,18835224,78.88,2.178048733
Argentina,ARG,1971,1.574258289,44.15938553,24257208,19241060,79.321,2.131780345
Argentina,ARG,1972,1.583296226,44.2141494,24644328,19652126,79.743,2.113898857
Argentina,ARG,1973,1.616756118,44.25233086,25046005,20076377,80.158,2.135832441
Argentina,ARG,1974,1.644732158,44.27941785,25461351,20513447,80.567,2.153677206
Argentina,ARG,1975,1.608108356,44.32298282,25874107,20950006,80.969,2.105831044
Argentina,ARG,1976,1.565232308,44.38690124,26282283,21384842,81.366,2.054342053
Argentina,ARG,1977,1.583610413,44.44087956,26701805,21830061,81.755,2.060561158
Argentina,ARG,1978,1.598850033,44.48942469,27132158,22286083,82.139,2.067443805
Argentina,ARG,1979,1.596847799,44.53915545,27568895,22748749,82.516,2.054775194
Argentina,ARG,1980,1.593042286,44.59192186,28011596,23217972,82.887,2.041647908
Argentina,ARG,1981,1.602012321,44.50023976,28463959,23714178,83.313,2.114646317
Argentina,ARG,1982,1.604206799,44.34705024,28924262,24226673,83.759,2.138111916
Argentina,ARG,1983,1.601904245,44.1957207,29391332,24745738,84.194,2.119905589
Argentina,ARG,1984,1.592356919,44.05018931,29863093,25270448,84.621,2.098237761
Argentina,ARG,1985,1.572629301,43.91258685,30336441,25797503,85.038,2.064205452
Argentina,ARG,1986,1.555391224,43.7840379,30811980,26327296,85.445,2.032856739
Argentina,ARG,1987,1.545129262,43.66066059,31291762,26861787,85.843,2.009844735
Argentina,ARG,1988,1.549903304,43.53662802,31780532,27405306,86.233,2.003192524
Argentina,ARG,1989,1.531348171,43.41981525,32270948,27950836,86.613,1.971046543
Argentina,ARG,1990,1.491574629,43.32161402,32755901,28492393,86.984,1.919002966
Argentina,ARG,1991,1.43788007,43.23702944,33230294,29019351,87.328,1.832574395
Argentina,ARG,1992,1.3843812,43.10807236,33693527,29495987,87.542,1.629133688
Argentina,ARG,1993,1.353640186,42.99154588,34152717,29969692,87.752,1.593238414
Argentina,ARG,1994,1.340137575,42.88188961,34613491,30446027,87.96,1.576890512
Argentina,ARG,1995,1.310311508,42.78537338,35070020,30919132,88.164,1.541964143
Argentina,ARG,1996,1.257452179,42.71240754,35513793,31382118,88.366,1.486308937
Argentina,ARG,1997,1.214647959,42.65665726,35947791,31836802,88.564,1.438467599
Argentina,ARG,1998,1.175525632,42.61839734,36372860,32284187,88.759,1.395462756
Argentina,ARG,1999,1.153043172,42.5898585,36794682,32729606,88.952,1.370250677
Argentina,ARG,2000,1.133128076,42.57056433,37213984,33173290,89.142,1.34649835
Argentina,ARG,2001,1.097946728,42.565091,37624825,33609880,89.329,1.307503731
Argentina,ARG,2002,1.069413183,42.63168691,38029349,34040070,89.51,1.271828874
Argentina,ARG,2003,1.033139977,42.75123996,38424282,34461202,89.686,1.229575141
Argentina,ARG,2004,1.01407652,42.88024273,38815916,34879982,89.86,1.207897147
Argentina,ARG,2005,1.027457722,43.00248549,39216789,35307267,90.031,1.217572379
Argentina,ARG,2006,1.028247605,43.12568877,39622115,35739148,90.2,1.215786384
Argentina,ARG,2007,0.991101935,43.26547602,40016763,36161548,90.366,1.174967373
Argentina,ARG,2008,1.012888785,43.39720901,40424148,36595981,90.53,1.194208129
Argentina,ARG,2009,1.059774707,43.50753036,40854831,37051655,90.691,1.237459448
Argentina,ARG,2010,1.056363322,43.62057807,41288694,37510366,90.849,1.230430133
Argentina,ARG,2011,1.064740097,43.55800987,41730660,37970728,90.99,1.219822565
Argentina,ARG,2012,1.027661364,43.42949615,42161721,38418182,91.121,1.171529002
Argentina,ARG,2013,0.99295899,43.31603239,42582455,38856064,91.249,1.133331503
Argentina,ARG,2014,1.031743579,43.18705917,43024071,39314105,91.377,1.171920819
Argentina,ARG,2015,1.047258887,43.05230773,43477012,39782770,91.503,1.185054365
Argentina,ARG,2016,0.968911126,42.95257758,43900313,40224540,91.627,1.104335316
Argentina,ARG,2017,0.881249595,42.89031467,44288894,40634617,91.749,1.014308165
Argentina,ARG,2018,0.82296948,42.85363692,44654882,41024440,91.87,0.954764788
Argentina,ARG,2019,0.710900853,42.87087508,44973465,41371540,91.991,0.842521815
Argentina,ARG,2020,0.484665637,42.99529795,45191965,41626771,92.111,0.615028912
Argentina,ARG,2021,0.265879395,43.22729196,45312281,41791064,92.229,0.393904283
Argentina,ARG,2022,0.210808731,43.49783685,45407904,41932837,92.347,0.338668251
Argentina,ARG,2023,0.286976122,43.74898671,45538401,42106172,92.463,0.412511399
Bolivia,BOL,1970,2.242334243,21.04694761,4590010,1825722,39.776,3.014605745
Bolivia,BOL,1971,2.247575102,21.4019345,4694342,1881586,40.082,3.013951298
Bolivia,BOL,1972,2.246169342,21.76850217,4800978,1939067,40.389,3.009189134
Bolivia,BOL,1973,2.249502701,22.14235673,4910200,1998255,40.696,3.006737015
Bolivia,BOL,1974,2.260816592,22.52566713,5022475,2059416,41.004,3.014814775
Bolivia,BOL,1975,2.265133094,22.91918368,5137539,2122523,41.314,3.018302796
Bolivia,BOL,1976,2.289047404,23.32000253,5256496,2187964,41.624,3.036595562
Bolivia,BOL,1977,2.30686985,23.71975507,5379166,2283241,42.446,4.262449379
Bolivia,BOL,1978,2.29641042,24.13389018,5504123,2391101,43.442,4.615800449
Bolivia,BOL,1979,2.276278231,24.56613559,5630849,2502518,44.443,4.554349566
Bolivia,BOL,1980,2.248625418,25.02055948,5758900,2617478,45.451,4.491383377
Bolivia,BOL,1981,2.218840924,25.49441595,5888109,2735557,46.459,4.412381269
Bolivia,BOL,1982,2.183470742,25.99435236,6018088,2856907,47.472,4.340449965
Bolivia,BOL,1983,2.152962371,26.51878499,6149060,2981433,48.486,4.266448633
Bolivia,BOL,1984,2.136816387,27.06656682,6281868,3109776,49.504,4.214664046
Bolivia,BOL,1985,2.115631583,27.63526924,6416185,3241393,50.519,4.145247781
Bolivia,BOL,1986,2.101974701,28.22861393,6552479,3376820,51.535,4.093126256
Bolivia,BOL,1987,2.109353951,28.83993245,6692162,3516664,52.549,4.057837472
Bolivia,BOL,1988,2.119379991,29.47084547,6835508,3661303,53.563,4.030628203
Bolivia,BOL,1989,2.117110262,30.12044517,6981766,3810020,54.571,3.981534348
Bolivia,BOL,1990,2.102925671,30.79851706,7130142,3962719,55.577,3.929596735
Bolivia,BOL,1991,2.083940915,31.50601576,7280289,4119115,56.579,3.870792865
Bolivia,BOL,1992,2.040052056,32.23406048,7430336,4275490,57.541,3.726038124
Bolivia,BOL,1993,1.983591371,32.75127504,7579195,4401921,58.079,2.914232085
Bolivia,BOL,1994,1.935536666,33.29797826,7727322,4529370,58.615,2.854182042
Bolivia,BOL,1995,1.888968087,33.87320316,7874676,4657871,59.15,2.797561981
Bolivia,BOL,1996,1.85028163,34.47715058,8021736,4787532,59.682,2.745656177
Bolivia,BOL,1997,1.805698058,35.10782453,8167900,4918056,60.212,2.689829191
Bolivia,BOL,1998,1.765611118,35.77004771,8313394,5049472,60.739,2.637035289
Bolivia,BOL,1999,1.745829284,36.45594237,8459806,5182816,61.264,2.606485454
Bolivia,BOL,2000,1.717127233,37.17162236,8606326,5317591,61.787,2.567184335
Bolivia,BOL,2001,1.686882296,37.91317366,8752736,5453480,62.306,2.523355576
Bolivia,BOL,2002,1.672482638,38.14932101,8900355,5587910,62.783,2.435139831
Bolivia,BOL,2003,1.67509392,38.27059785,9050700,5724387,63.248,2.413013415
Bolivia,BOL,2004,1.682725099,38.39196887,9204287,5864143,63.711,2.41208809
Bolivia,BOL,2005,1.685648902,38.51207926,9360754,6006796,64.17,2.403514454
Bolivia,BOL,2006,1.704640623,38.6279052,9521689,6153677,64.628,2.415829442
Bolivia,BOL,2007,1.710516527,38.74338734,9685960,6303816,65.082,2.410537498
Bolivia,BOL,2008,1.688114369,38.87061411,9850858,6455760,65.535,2.381759124
Bolivia,BOL,2009,1.665271206,39.00660675,10016275,6609139,65.984,2.348063264
Bolivia,BOL,2010,1.644406818,39.15395717,10182345,6764132,66.43,2.318055773
Bolivia,BOL,2011,1.622769787,39.31200997,10348929,6920743,66.874,2.288918788
Bolivia,BOL,2012,1.599651762,39.4825428,10515807,7078715,67.315,2.256926025
Bolivia,BOL,2013,1.573744476,39.66351662,10682608,7232019,67.699,2.142585624
Bolivia,BOL,2014,1.544558778,39.85859196,10848888,7382343,68.047,2.05728176
Bolivia,BOL,2015,1.516861198,40.06736449,11014705,7533287,68.393,2.024039925
Bolivia,BOL,2016,1.48970584,40.28983848,11180020,7684922,68.738,1.992876015
Bolivia,BOL,2017,1.461245723,40.52673755,11344587,7836841,69.08,1.957559219
Bolivia,BOL,2018,1.433370907,40.77807557,11508368,7989684,69.425,1.931539007
Bolivia,BOL,2019,1.406578238,40.97984592,11671386,8143476,69.773,1.906590633
Bolivia,BOL,2020,1.233964427,41.25142737,11816299,8285943,70.123,1.734334867
Bolivia,BOL,2021,1.019312841,41.60960212,11937360,8412854,70.475,1.520030976
Bolivia,BOL,2022,1.164259073,41.90538599,12077154,8554248,70.83,1.666722735
Bolivia,BOL,2023,1.373343823,42.10973575,12244159,8716127,71.186,1.874698621
Brazil,BRA,1970,2.473171741,27.72985948,95375651,53323573,55.909,4.221540876
Brazil,BRA,1971,2.448013844,28.31373526,97739273,55607782,56.894,4.194465192
Brazil,BRA,1972,2.433362586,28.86444786,100146797,57963965,57.879,4.149836887
Brazil,BRA,1973,2.421036579,29.43316543,102600976,60385804,58.855,4.093251984
Brazil,BRA,1974,2.396658792,30.02963612,105089675,62870949,59.826,4.033015272
Brazil,BRA,1975,2.378842877,30.65131884,107619565,65420857,60.789,3.975692507
Brazil,BRA,1976,2.381556163,31.29485885,110213349,68051232,61.745,3.941971127
Brazil,BRA,1977,2.386557498,31.95454945,112875292,70760392,62.689,3.903857586
Brazil,BRA,1978,2.386050633,32.63874787,115600942,73551099,63.625,3.868098002
Brazil,BRA,1979,2.376261954,33.34957358,118380821,76416004,64.551,3.821176152
Brazil,BRA,1980,2.359690661,34.09266613,121207461,79352101,65.468,3.770277358
Brazil,BRA,1981,2.328674854,34.27643507,124063109,82340685,66.37,3.697041122
Brazil,BRA,1982,2.27914449,34.36420644,126923155,85371053,67.262,3.614175002
Brazil,BRA,1983,2.233652838,34.47283339,129790077,88441554,68.142,3.533484158
Brazil,BRA,1984,2.186254785,34.60442719,132658864,91547882,69.01,3.452020888
Brazil,BRA,1985,2.130582513,34.75844976,135515595,94673905,69.862,3.357627188
Brazil,BRA,1986,2.060145718,34.94409894,138336370,97807964,70.703,3.256759738
Brazil,BRA,1987,1.98157141,35.16350426,141104944,100930955,71.529,3.143066399
Brazil,BRA,1988,1.910282056,35.41601836,143826357,104046863,72.342,3.040473421
Brazil,BRA,1989,1.843899716,35.69672771,146502972,107150809,73.139,2.939586864
Brazil,BRA,1990,1.786135751,36.00709769,149143223,110249653,73.922,2.851009488
Brazil,BRA,1991,1.715769565,36.35115469,151724256,113322847,74.69,2.749343126
Brazil,BRA,1992,1.667246818,36.57166495,154275079,116391291,75.444,2.671691472
Brazil,BRA,1993,1.619928558,36.78091686,156794577,119447677,76.181,2.59207132
Brazil,BRA,1994,1.563299735,37.01676312,159265006,122479568,76.903,2.506579812
Brazil,BRA,1995,1.539012552,37.26655566,161735073,125522590,77.61,2.454151814
Brazil,BRA,1996,1.514107592,37.53196669,164202549,128573880,78.302,2.401793838
Brazil,BRA,1997,1.486504265,37.81088187,166661659,131742708,79.048,2.434715789
Brazil,BRA,1998,1.487720981,38.09613528,169159655,134957264,79.781,2.410732672
Brazil,BRA,1999,1.456527672,38.3991386,171641543,138164576,80.496,2.348738895
Brazil,BRA,2000,1.375211283,38.74093413,174018282,141288924,81.192,2.23613459
Brazil,BRA,2001,1.303355032,38.83707305,176301203,143778920,81.553,1.746994185
Brazil,BRA,2002,1.241420626,38.93363784,178503484,146158653,81.88,1.641585405
Brazil,BRA,2003,1.180213955,39.05537603,180622688,148477268,82.203,1.573917298
Brazil,BRA,2004,1.12991417,39.19905676,182675143,150745355,82.521,1.516015344
Brazil,BRA,2005,1.095906125,39.35608174,184688101,152984542,82.834,1.474486108
Brazil,BRA,2006,1.058338425,39.53045871,186653106,155188992,83.143,1.430679379
Brazil,BRA,2007,1.012368206,39.72519617,188552320,157343140,83.448,1.378534808
Brazil,BRA,2008,0.957984636,39.9453279,190367302,159430712,83.749,1.318039484
Brazil,BRA,2009,0.895632239,40.19116914,192079951,161431674,84.044,1.247256162
Brazil,BRA,2010,0.840883225,40.46262905,193701929,163358522,84.335,1.186532494
Brazil,BRA,2011,0.813813884,40.71166208,195284734,165271423,84.631,1.16418034
Brazil,BRA,2012,0.811598483,40.96151564,196876111,167193100,84.923,1.156032159
Brazil,BRA,2013,0.810511648,41.21272321,198478299,169121374,85.209,1.146721464
Brazil,BRA,2014,0.806314178,41.46902333,200085127,171056777,85.492,1.137888414
Brazil,BRA,2015,0.791721774,41.73402057,201675532,172977104,85.77,1.116370829
Brazil,BRA,2016,0.76197267,42.01505925,203218114,174852930,86.042,1.078598167
Brazil,BRA,2017,0.72824666,42.31162548,204703445,176677496,86.309,1.038079352
Brazil,BRA,2018,0.683439571,42.6304297,206107261,178424995,86.569,0.984230272
Brazil,BRA,2019,0.651994346,42.8340013,207455459,180121128,86.824,0.946124107
Brazil,BRA,2020,0.57935071,43.05981905,208660842,181687255,87.073,0.865727194
Brazil,BRA,2021,0.425360907,43.33583851,209550294,182973030,87.317,0.705193508
Brazil,BRA,2022,0.360180891,43.62212584,210306415,184133782,87.555,0.632380457
Brazil,BRA,2023,0.395928696,43.87326521,211140729,185356223,87.788,0.661693385
Chile,CHL,1970,1.690761998,26.88236186,9845344,7406357,75.227,2.598801484
Chile,CHL,1971,1.655606968,27.35692105,10009701,7595661,75.883,2.523847771
Chile,CHL,1972,1.634736189,27.84696479,10174678,7786478,76.528,2.481147634
Chile,CHL,1973,1.61527935,28.34864969,10340362,7978520,77.159,2.436429106
Chile,CHL,1974,1.587422562,28.86875909,10505817,8171214,77.778,2.386455964
Chile,CHL,1975,1.565306147,29.40491638,10671559,8365008,78.386,2.343980056
Chile,CHL,1976,1.54994709,29.95703827,10838251,8560267,78.982,2.307409045
Chile,CHL,1977,1.531523812,30.52228614,11005519,8756541,79.565,2.26695827
Chile,CHL,1978,1.507598099,31.10710531,11172695,8953351,80.136,2.222691166
Chile,CHL,1979,1.484395433,31.71048572,11339779,9150635,80.695,2.179540017
Chile,CHL,1980,1.477342781,32.32935513,11508550,9349891,81.243,2.154140969
Chile,CHL,1981,1.467788809,32.9603757,11678717,9550621,81.778,2.124149308
Chile,CHL,1982,1.457780101,33.50915013,11850214,9743957,82.226,2.004111943
Chile,CHL,1983,1.47365212,33.6460799,12026138,9904607,82.359,1.635270445
Chile,CHL,1984,1.498715571,33.77598445,12207733,10070403,82.492,1.660072336
Chile,CHL,1985,1.524566753,33.89586225,12395274,10241471,82.624,1.684453585
Chile,CHL,1986,1.550131447,34.00835847,12588914,10417956,82.755,1.708559422
Chile,CHL,1987,1.585875803,34.10902921,12790150,10601116,82.885,1.742842274
Chile,CHL,1988,1.622970535,34.19819217,12999424,10791342,83.014,1.778486736
Chile,CHL,1989,1.644787763,34.27833739,13215005,10987352,83.143,1.800064711
Chile,CHL,1990,1.667226756,34.3518534,13437176,11189271,83.271,1.821057968
Chile,CHL,1991,1.66290008,34.42700895,13662491,11394244,83.398,1.815294286
Chile,CHL,1992,1.6124461,34.53310101,13884577,11602508,83.564,1.811296603
Chile,CHL,1993,1.555754703,34.71018437,14102276,11831245,83.896,1.952263173
Chile,CHL,1994,1.505947204,34.90655657,14316256,12057580,84.223,1.894959445
Chile,CHL,1995,1.463953874,35.11878707,14527381,12282174,84.545,1.845543507
Chile,CHL,1996,1.412565671,35.35147101,14734046,12503459,84.861,1.785638315
Chile,CHL,1997,1.337475544,35.6104035,14932434,12718253,85.172,1.703287968
Chile,CHL,1998,1.299841892,35.88575575,15127799,12930789,85.477,1.657300609
Chile,CHL,1999,1.258027532,36.17835865,15319313,13140600,85.778,1.609546231
Chile,CHL,2000,1.196019259,36.4970086,15503635,13344444,86.073,1.539344433
Chile,CHL,2001,1.155694418,36.83122045,15683849,13545043,86.363,1.492053169
Chile,CHL,2002,1.103791863,37.10182764,15857925,13733915,86.606,1.384767102
Chile,CHL,2003,1.04651515,37.00818584,16024752,13887851,86.665,1.114610801
Chile,CHL,2004,1.009381639,36.92888793,16187322,14038455,86.725,1.078592063
Chile,CHL,2005,0.992481123,36.85518881,16348778,14187960,86.783,1.059336782
Chile,CHL,2006,0.976434393,36.78794151,16509195,14336915,86.842,1.044396191
Chile,CHL,2007,0.978803488,36.71994876,16671581,14487604,86.9,1.045570771
Chile,CHL,2008,0.99913787,36.64502285,16838988,14643016,86.959,1.0670111
Chile,CHL,2009,1.008868006,36.56589866,17009731,14801358,87.017,1.075543507
Chile,CHL,2010,1.004553624,36.48891619,17181464,14960588,87.074,1.070034327
Chile,CHL,2011,0.986604121,36.41863192,17351816,15118984,87.132,1.053189614
Chile,CHL,2012,0.959562935,36.35871187,17519119,15274745,87.189,1.024963825
Chile,CHL,2013,0.953744683,36.30020819,17687006,15431205,87.246,1.019094697
Chile,CHL,2014,0.99681846,36.2265862,17864195,15595978,87.303,1.062130255
